offline_datapoint_17 1701257511 72,607
offline_datapoint_10 1701257511 98,860
offline_datapoint_29 1701257511 0,000
offline_datapoint_22 1701257511 17713,321
offline_datapoint_4 1701257511 0,013
offline_datapoint_11 1701257516 28230,000
offline_datapoint_5 1701257516 4997,000
offline_datapoint_26 1701257516 585703424,000
offline_datapoint_14 1701257516 482246656,000
offline_datapoint_3 1701257516 14061215744,000
offline_datapoint_9 1701257516 75366400,000
offline_datapoint_25 1701257516 779,000
offline_datapoint_19 1701257514 5,340
offline_datapoint_8 1701257514 1936,257
offline_datapoint_21 1701257516 75366400,000
offline_datapoint_1 1701257514 0,334
offline_datapoint_20 1701257516 10296762368,000
offline_datapoint_7 1701257516 6293790720,000
offline_datapoint_6 1701257514 0,000
offline_datapoint_12 1701257514 1,487
offline_datapoint_24 1701257514 0,261
offline_datapoint_13 1701257514 7717,659
offline_datapoint_18 1701257516 0,000
offline_datapoint_0 1701257514 13147,924
offline_datapoint_16 1701257514 1491,662
offline_datapoint_28 1701257514 0,583
offline_datapoint_17 1701257514 12,350
offline_datapoint_10 1701257514 99,698
offline_datapoint_29 1701257514 0,668
offline_datapoint_22 1701257514 17601,730
offline_datapoint_4 1701257514 0,006
offline_datapoint_11 1701257519 28230,000
offline_datapoint_5 1701257519 4988,000
offline_datapoint_26 1701257519 585601024,000
offline_datapoint_14 1701257519 482312192,000
offline_datapoint_3 1701257519 14061072384,000
offline_datapoint_9 1701257519 75218944,000
offline_datapoint_25 1701257519 779,000
offline_datapoint_19 1701257517 5,316
offline_datapoint_8 1701257517 3687,495
offline_datapoint_21 1701257519 75218944,000
offline_datapoint_1 1701257517 0,332
offline_datapoint_20 1701257519 10296999936,000
offline_datapoint_7 1701257519 6295289856,000
offline_datapoint_6 1701257517 0,000
offline_datapoint_12 1701257517 2,342
offline_datapoint_24 1701257517 1,168
offline_datapoint_13 1701257517 7655,730
offline_datapoint_18 1701257519 0,000
offline_datapoint_0 1701257517 12860,218
offline_datapoint_16 1701257517 1278,447
offline_datapoint_28 1701257517 0,502
offline_datapoint_17 1701257517 7,641
offline_datapoint_10 1701257517 99,715
offline_datapoint_29 1701257517 1,993
offline_datapoint_22 1701257517 24219,826
offline_datapoint_4 1701257517 0,005
offline_datapoint_11 1701257522 28230,000
offline_datapoint_5 1701257522 5000,000
offline_datapoint_26 1701257522 585641984,000
offline_datapoint_14 1701257522 482312192,000
offline_datapoint_3 1701257522 14105927680,000
offline_datapoint_9 1701257522 75403264,000
offline_datapoint_25 1701257522 759,000
offline_datapoint_19 1701257520 16,314
offline_datapoint_8 1701257520 8491,125
offline_datapoint_21 1701257522 75403264,000
offline_datapoint_1 1701257520 1,332
offline_datapoint_20 1701257522 10342916096,000
offline_datapoint_7 1701257522 6324531200,000
offline_datapoint_6 1701257520 0,000
offline_datapoint_12 1701257520 2,616
offline_datapoint_24 1701257520 1,235
offline_datapoint_13 1701257520 11838,565
offline_datapoint_18 1701257522 0,000
offline_datapoint_0 1701257520 14966,593
offline_datapoint_16 1701257520 2067,595
offline_datapoint_28 1701257520 0,609
offline_datapoint_17 1701257520 12,319
offline_datapoint_10 1701257520 99,603
offline_datapoint_29 1701257520 1,332
offline_datapoint_22 1701257520 40517,189
offline_datapoint_4 1701257520 0,006
offline_datapoint_11 1701257525 28230,000
offline_datapoint_5 1701257525 4997,000
offline_datapoint_26 1701257525 585641984,000
offline_datapoint_14 1701257525 482312192,000
offline_datapoint_3 1701257525 14093303808,000
offline_datapoint_9 1701257525 75452416,000
offline_datapoint_25 1701257525 760,000
offline_datapoint_19 1701257523 3,661
offline_datapoint_8 1701257523 1095,907
offline_datapoint_21 1701257525 75452416,000
offline_datapoint_1 1701257523 0,998
offline_datapoint_20 1701257525 10332938240,000
offline_datapoint_7 1701257525 6299901952,000
offline_datapoint_6 1701257523 0,065
